Program,Type,Transfer Ratio,Transfer Time
Aer Lingus AerClub,Airline,1:1,Instant
Air France/KLM Flying Blue,Airline,1:1,Instant
Avianca LifeMiles,Airline,1:1,Instant
British Airways Executive Club,Airline,1:1,Instant
Iberia Plus,Airline,1:1,Instant
Virgin Atlantic Flying Club,Airline,1:1,Instant
Choice Privileges,Hotel,1:2,Instant
